cityid,cidade,lat,long,diasfrom,date,text
0,Presidente Venceslau- São Paulo- Brazil,-21.87611,-51.84389,34,2020-03-23 19:46:52+00:00,Eu aqui no trampo começo ouvir um vei fila da puta reclamando que passou o dia com febre falta de ar e tosse não dá 2 minutos o vei tava rindo
1,Birigui- São Paulo- Brazil,-21.28861,-50.34,34,2020-03-23 16:51:41+00:00,Eu pro Eduardo “nossa to com corpo ruim” ele “tosse seca febre falta de ar?” Ele virou desse jeito pra mim 
2,São Paulo- São Paulo- Brazil,-23.5475,-46.63611,34,2020-03-23 16:49:03+00:00,tenho falta de ar quase todo dia... Minha vida é isso. Porém hj acordei com tosse tô esperando se vai rolar febre.
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,33,2020-03-23 12:49:02+00:00,gente do céu acordei hj com tosse dor de cabeça e falta de ar Deus é mais
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,33,2020-03-23 01:25:48+00:00,falta de ar e febre ainda não deu
2,São Paulo- São Paulo- Brazil,-22.0,-49.0,33,2020-03-23 00:11:15+00:00,Cara se cuida. Não bobeia se apresentar tosse falta de ar e febre alta.
3,Ribeirão Preto- São Paulo- Brazil,-21.1775,-47.81028,33,2020-03-22 19:45:15+00:00,Não temos máscara aqui mas nenhum dos dois teve febre até agora só estamos com corpo pesado e tossindo um pouco. Ontem à noite eu tive um pouco de dor nas costas hoje ele está com um pouco mas sem falta de ar ou febre 
4,José Bonifácio- São Paulo- Brazil,-21.08986,-49.77293,33,2020-03-22 16:24:09+00:00,minha rinite tá atacadissima e a gente fica c o psicológico tão abalado q eu já relo em mim e acho q to com febre q tá me dando falta de ar... e n tá acontecendo nada disso lkkkkkkk
5,Américo Brasiliense- São Paulo- Brazil,-21.72444,-48.10167,32,2020-03-22 11:37:18+00:00,falei pra minha mãe que to com tosse e falta de ar ela veio limpar meu quarto com álcool KKKKKK scrr rindo de nervoso
6,Presidente Prudente- São Paulo- Brazil,-22.12556,-51.38889,32,2020-03-21 23:06:10+00:00,Eu to ficando preocupada com essa tosse e falta de ar 
